name,iata,icao,lat,lon,ico,alt
"A Coruna Airport",LCG,LECO,43.302059,-8.37725,ES,326
"Aachen Merzbruck Airport",AAH,EDKA,50.823051,6.186111,DE,623
"Aalborg Airport",AAL,EKYT,57.092781,9.849164,DK,10
"Aarhus Airport",AAR,EKAH,56.300011,10.619,DK,82
"Aarhus Sea Airport",QEA,EKAC,56.151993,10.247725,DK,1
"Aasiaat Airport",JEG,BGAA,68.72184,-52.784698,GL,74
"Abadan Airport",ABD,OIAA,30.371111,48.228329,IR,19
"Abakan International Airport",ABA,UNAA,53.740002,91.385002,RU,831
"Abbotsford International Airport",YXX,CYXX,49.025269,-122.360001,CA,195
"Aberdeen International Airport",ABZ,EGPD,57.201939,-2.19777,GB,215
"Aberdeen Regional Airport",ABR,KABR,45.439999,-98.419998,US,1302
"Abha Regional Airport",AHB,OEAB,18.24036,42.65662,SA,6858
"Abidjan Port Bouet Airport",ABJ,DIAP,5.261386,-3.92629,CI,21
"Abilene Regional Airport",ABI,KABI,32.411301,-99.681801,US,1790
"Abingdon Virginia Highlands Airport",VJI,KVJI,36.686111,-82.033333,US,2088
"Abu Dhabi Al Bateen Executive Airport",AZI,OMAD,24.428329,54.45808,AE,16
"Abu Dhabi Al Dhafra Air Base",DHF,OMAM,24.248199,54.547699,AE,77
"Abu Dhabi International Airport",AUH,OMAA,24.43297,54.651131,AE,88
"Abu Musa Island Airport",AEU,OIBA,25.8757,55.033001,IR,23
"Abu Simbel Airport",ABS,HEBL,22.37595,31.611719,EG,616
"Abuja Nnamdi Azikiwe International Airport",ABV,DNAA,9.006792,7.263172,NG,1123
"Acapulco International Airport",ACA,MMAA,16.757059,-99.753899,MX,16
"Accra Kotoka International Airport",ACC,DGAA,5.605186,-0.16678,GH,205
"Ada Municipal Airport",ADT,KADH,34.804298,-96.671303,US,1016
"Adak Airport",ADK,PADK,51.87796,-176.645996,US,18
"Adampur Airport",AIP,VIAX,31.433056,75.760559,IN,776
"Adana Sakirpasa Airport",ADA,LTAF,36.982159,35.28038,TR,65
"Addis Ababa Bole Airport",ADD,HAAB,8.977889,38.799309,ET,7656
"Adelaide Airport",ADL,YPAD,-34.945,138.530502,AU,20
"Aden International Airport",ADE,OYAA,12.82954,45.02879,YE,7
"Adiyaman Airport",ADF,LTCP,37.731361,38.468929,TR,2216
"Adrar Airport",AZR,DAUA,27.83758,-0.18641,DZ,919
"Adrian Lenawee County Airport",ADG,KADG,41.86607,-84.078293,US,798
"Afton Municipal Airport",AFO,KAFO,42.711201,-110.942001,US,6221
"Agades Mano Dayak International Airport",AJY,DRZA,16.96599,8.000114,NE,1657
"Agadir Al Massira Airport",AGA,GMAD,30.324989,-9.41306,MA,250
"Agartala Airport",IXA,VEAT,23.886971,91.240448,IN,46
"Agatti Airport",AGX,VOAT,10.82365,72.176041,IN,14
"Agen La Garenne Airport",AGF,LFBA,44.174709,0.590619,FR,204
"Aghajari Airport",AKW,OIAG,30.7444,49.6772,IR,88
"Agra Airport",AGR,VIAG,27.15583,77.960892,IN,551
"Agri Airport",AJI,LTCO,39.65456,43.027149,TR,5462
"Agua Boa Airport",GGB,SWHP,-14.019444,-52.152222,BR,1506
"Aguachica Hacaritama Airport",HAY,SKAG,8.246203,-73.579628,CO,531
"Aguadilla Rafael Hernandez Airport",BQN,TJBQ,18.49486,-67.129402,PR,237
"Aguascalientes International Airport",AGU,MMAS,21.705549,-102.317001,MX,6112
"Ahe Airport",AHE,NTHE,-14.42759,-146.255981,PF,11
"Ahmedabad International Airport",AMD,VAAH,23.07724,72.634651,IN,189
"Ahwaz International Airport",AWZ,OIAW,31.337429,48.761951,IR,66
"Aiken Municipal Airport",AIK,KAIK,33.649399,-81.684998,US,528
"Airai Roman Tmetuchl International Airport",ROR,PTRO,7.367303,134.544205,PW,176
"Aitutaki Airport",AIT,NCAI,-18.8309,-159.764008,CK,14
"Aix-en-Provence Airport",QXB,LFMA,43.50528,5.367222,FR,368
"Aizawl Lengpui Airport",AJL,VELP,23.838442,92.620361,IN,1001
"Ajaccio Napoleon Bonaparte Airport",AJA,LFKJ,41.923882,8.8025,FR,16
"Akiak Airport",AKI,PFAK,60.902901,-161.231003,US,30
"Akita Airport",AXT,RJSK,39.615551,140.218597,JP,313
"Aklavik Airport",LAK,CYKD,68.223297,-135.005997,CA,23
"Akron Canton Airport",CAK,KCAK,40.91608,-81.442101,US,1225
"Akron Fulton International Airport",AKC,KAKR,41.037498,-81.466904,US,1067
"Aksu Airport",AKU,ZWAK,41.262501,80.291664,CN,3816
"Aktau Airport",SCO,UATE,43.86005,51.091969,KZ,73
"Aktion National Airport",PVK,LGPZ,38.925461,20.76531,GR,11
"Aktobe Airport",AKX,UATT,50.245831,57.206661,KZ,738
"Akulivik Airport",AKV,CYKO,60.818611,-78.148613,CA,75
"Akure Airport",AKR,DNAK,7.246739,5.301008,NG,1100
"Akureyri Airport",AEY,BIAR,65.658607,-18.072201,IS,6
"Al Ain International Airport",AAN,OMAL,24.26166,55.609161,AE,869
"Al Hoceima Cherif Al Idrissi Airport",AHU,GMTA,35.177101,-3.83952,MA,95
"Al Najaf International Airport",NJF,ORNI,31.991667,44.404167,IQ,108
"Al Udeid Air Base",XJD,OTBH,25.114941,51.316105,QA,130
"Al Ula  Airport",ULH,OEAO,26.480862,38.116653,SA,2017
"Al Wajh Airport",EJH,OEWJ,26.198334,36.476112,SA,66
"Al-Baha Domestic Airport",ABT,OEBA,20.296129,41.63427,SA,5486
"Al-Qamishli Airport",KAC,OSKL,37.031025,41.205559,SY,1480
"Al-Qassim International Airport",ELQ,OEGS,26.30282,43.773911,SA,2126
"Alakanuk Airport",AUK,PAUK,62.683056,-164.722198,US,22
"Alamogordo White Sands Regional Airport",ALM,KALM,32.845833,-105.985275,US,4200
"Alamosa San Luis Valley Regional Airport",ALS,KALS,37.43491,-105.865997,US,7539
"Albacete Airport",ABC,LEAB,38.948502,-1.86352,ES,2302
"Albany Airport",ALH,YABA,-34.939999,117.800003,AU,233
"Albany International Airport",ALB,KALB,42.749111,-73.801903,US,285
"Albany Southwest Georgia Regional Airport",ABY,KABY,31.535509,-84.194397,US,196
"Albenga Clemente Panero International Airport",ALL,LIMG,44.050598,8.127428,IT,148
"Albert Picardie Airport",BYF,LFAQ,49.9715,2.69766,FR,364
"Albi Le Sequestre Airport",LBI,LFCI,43.913269,2.11675,FR,564
"Albuquerque International Airport",ABQ,KABQ,35.040218,-106.609001,US,5355
"Albury Airport",ABX,YMAY,-36.067699,146.957993,AU,539
"Aldan Airport",ADH,UEEA,58.602772,125.408798,RU,2241
"Alderney Airport",ACI,EGJA,49.706108,-2.21472,GG,290
"Alegrete Novo Airport",ALQ,SSLT,-29.8127,-55.893398,BR,459
"Aleppo International Airport",ALP,OSAP,36.180672,37.22435,SY,1276
"Alert Airport",YLT,CYLT,82.517776,-62.280556,CA,100
"Alesund Vigra Airport",AES,ENAL,62.560371,6.110164,NO,69
"Alexander City Thomas C Russell Field",ALX,KALX,32.933334,-85.949997,US,686
"Alexandria Borg El Arab Airport",HBE,HEBA,30.91766,29.6964,EG,177
"Alexandria International Airport",AEX,KAEX,31.32737,-92.5485,US,89
"Alexandria Municipal Airport",AXN,KAXN,45.867222,-95.394165,US,1425
"Alexandroupolis International Airport",AXD,LGAL,40.855862,25.956261,GR,24
"Algeciras Heliport",QYH,LEAG,36.128887,-5.441111,ES,98
"Alghero Fertilia Airport",AHO,LIEA,40.63213,8.290772,IT,87
"Algiers Houari Boumediene Airport",ALG,DAAG,36.69101,3.215408,DZ,82
"Alicante Airport",ALC,LEAL,38.282162,-0.55815,ES,142
"Alice International Airport",ALI,KALI,27.740879,-98.026901,US,178
"Alice Springs Airport",ASP,YBAS,-23.806601,133.902206,AU,1789
"Allahabad Airport",IXD,VEAB,25.439886,81.734406,IN,319
"Allakaket Airport",AET,PFAL,66.551804,-152.621994,US,441
"Allendorf Airport",QEQ,EDFQ,51.035713,8.679523,DE,1164
"Allentown Lehigh Valley International Airport",ABE,KABE,40.652302,-75.440399,US,393
"Alliance Municipal Airport",AIA,KAIA,42.053219,-102.803001,US,3931
"Alma Airport",YTF,CYTF,48.509655,-71.642715,CA,434
"Almaty International Airport",ALA,UAAA,43.35207,77.040497,KZ,2234
"Almeirim Airport",GGF,SNYA,-1.479167,-52.578056,BR,584
"Almeria Airport",LEI,LEAM,36.843929,-2.37009,ES,70
"Alor Island Airport",ARD,WATM,-8.13234,124.597,ID,10
"Alor Setar Sultan Abdul Halim Airport",AOR,WMKA,6.189667,100.398102,MY,15
"Alpena County Regional Airport",APN,KAPN,45.081669,-83.555832,US,689
"Alta Airport",ALF,ENAT,69.976112,23.37166,NO,9
"Alta Floresta Airport",AFL,SBAT,-9.86609,-56.106201,BR,947
"Altai Airport",LTI,ZMAT,46.650002,96.416664,MN,7261
"Altamira Airport",ATM,SBHT,-3.2539,-52.253899,BR,368
"Altay Airport",AAT,ZWAT,47.750362,88.084442,CN,1750
"Altenburg Nobitz Airport",AOC,EDAC,50.981812,12.50636,DE,640
"Altenstadt Air Base",QCA,ETHA,47.835518,10.870574,DE,2423
"Alton St. Louis Regional Airport",ALN,KALN,38.890301,-90.045998,US,544
"Altoona Blair County Airport",AOO,KAOO,40.296371,-78.32,US,1503
"Alverca Airport",AVR,LPAR,38.884068,-9.029201,PT,5
"Alzintan Airport",ZIS,HLZN,31.775,12.25,LY,2080
"Amakusa Airport",AXJ,RJDA,32.483261,130.15564,JP,328
"Amami Airport",ASJ,RJKA,28.43063,129.712494,JP,27
"Amarillo Rick Husband  International Airport",AMA,KAMA,35.21936,-101.705002,US,3607
"Amarillo Tradewind Airport",TDW,KTDW,35.169899,-101.825996,US,3649
"Ambler Airport",ABL,PAFM,67.087502,-157.84584,US,289
"Ambon Pattimura Airport",AMQ,WAPP,-3.71026,128.089096,ID,33
"Amboseli Airport",ASV,HKAM,-2.633,37.25,KE,3755
"Ames Municipal Airport",AMW,KAMW,41.992001,-93.621803,US,956
"Amman Civil Airport",ADJ,OJAM,31.9727,35.991562,JO,2555
"Amman Queen Alia International Airport",AMM,OJAI,31.722549,35.99321,JO,2395
"Amos Magny Airport",YEY,CYEY,48.564838,-78.249146,CA,1076
"Amritsar International Airport",ATQ,VIAR,31.709591,74.797256,IN,756
"Amsterdam Schiphol Airport",AMS,EHAM,52.308609,4.763889,NL,11
"Anadyr Ugolny Airport",DYR,UHMA,64.730003,177.740005,RU,194
"Anaktuvuk Pass Airport",AKP,PAKP,68.129997,-151.740005,US,2106
"Anapa Airport",AAQ,URKA,45.00209,37.347271,RU,174
"Anapolis Airport",APS,SBAN,-16.22714,-48.963783,BR,3712
"Anchorage Elmendorf Air Force Base",EDF,PAED,61.251339,-149.806,US,213
"Anchorage Merrill Field Airport",MRI,PAMR,61.213539,-149.843994,US,137
"Anchorage Ted Stevens International Airport",ANC,PANC,61.174358,-149.996002,US,151
"Ancona Airport",AOI,LIPY,43.616341,13.36231,IT,49
"Andenes Andoya Airport",ANX,ENAN,69.292503,16.144159,NO,43
"Anderson Municipal Airport",AID,KAID,40.108665,-85.613815,US,891
"Anderson Regional Airport",AND,KAND,34.494579,-82.709297,US,782
"Andizhan Airport",AZN,UTFA,40.72773,72.294006,UZ,1515
"Andorra La Seu de Urgel Airport",LEU,LESU,42.34058,1.410326,ES,2625
"Andros Town International Airport",ASD,MYAF,24.69828,-77.795601,BS,5
"Anegada Auguste George Airport",NGD,TUPA,18.727394,-64.330055,VG,21
"Angeles City Clark International Airport",CRK,RPLC,15.18598,120.560303,PH,484
"Angelholm Helsingborg Airport",AGH,ESTA,56.29607,12.84713,SE,68
